,ETagGantryID,LinkID,LocationType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,RoadDirection,LocationMile,RoadSectionStart,RoadSectionEnd
83,01F2714N,0000100127110Q,4,120.361565,23.436367,000010,國道1號,0,N,271K+400,嘉義系統,水上
84,01F2322S,0000100023200P,4,120.469345,23.766329,000010,國道1號,0,S,232K+200,西螺,虎尾
85,03F1215S,0000300012100K,4,120.83824,24.655964,000030,國道3號,0,S,121K+500,竹南,大山
86,03F3307S,0000300033100D,4,120.35546,23.203276,000030,國道3號,0,S,330K+700,烏山頭,官田系統
87,03F3743N,0000300137400E,4,120.38543,22.845121,000030,國道3號,0,N,374K+300,燕巢系統,田寮
88,03F1651S,0000300016500B,4,120.635574,24.334719,000030,國道3號,0,S,165K+100,大甲,中港系統
89,01F2249S,0000100022500N,4,120.48488,23.830568,000010,國道1號,0,S,224K+900,北斗,西螺
90,03F3743S,0000300037400E,4,120.38543,22.845121,000030,國道3號,0,S,374K+300,田寮,燕巢系統
91,01F2322N,0000100123200P,4,120.469345,23.766329,000010,國道1號,0,N,232K+200,虎尾,西螺
92,03F3496N,0000300135000D,4,120.32517,23.040203,000030,國道3號,0,N,349K+600,關廟,新化系統
93,03F1651N,0000300116520B,4,120.635574,24.334719,000030,國道3號,0,N,165K+100,中港系統,大甲
94,01F3736S,0000101076030E,4,120.32315,22.581932,000010,國道1號,0,S,373K+600,高雄端(中山四路),高雄端(漁港路)
95,03F0301N,0000300103000F,4,121.53057,24.96255,000030,國道3號,0,N,30K+100,安坑,新店
96,03F1022S,0000300010200J,4,120.97227,24.757914,000030,國道3號,0,S,102K+200,新竹系統,茄苳
97,01F3126N,0000100131220D,4,120.24768,23.104816,000010,國道1號,0,N,312K+600,臺南系統,安定
98,01F2472S,0000100024700P,4,120.443115,23.639557,000010,國道1號,0,S,247K+200,雲林系統,大林
99,01F3736N,0000101176100E,4,120.32315,22.581932,000010,國道1號,0,N,373K+600,高雄端(漁港路),高雄端(中山四路)
100,03F0054N,0000300100520C,4,121.681786,25.103746,000030,國道3號,0,N,5K+400,汐止系統,瑪東系統
101,01H0271N,00001A0102700F,4,121.49402,25.075256,00001A,國道1號汐止五股高架道路,0,N,27K+100,五股(高架),環北
102,03F0301S,0000300003000F,4,121.53057,24.96255,000030,國道3號,0,S,30K+100,新店,安坑
103,01H0174N,00001A0101700A,4,121.58804,25.065544,00001A,國道1號汐止五股高架道路,0,N,17K+400,堤頂,汐止&汐止系統
104,03F0337S,0000300003310F,4,121.50238,24.978882,000030,國道3號,0,S,33K+700,安坑,中和
105,03F2100N,0000300121000B,4,120.67153,24.060429,000030,國道3號,0,N,210K+000,霧峰,中投
106,01F3126S,0000100031300D,4,120.24768,23.104816,000010,國道1號,0,S,312K+600,安定,臺南系統
107,03F2100S,0000300021000B,4,120.67097,24.060654,000030,國道3號,0,S,210K+000,中投,霧峰
108,01F0633S,0000100006300H,4,121.195595,24.949282,000010,國道1號,0,S,63K+300,中壢,平鎮系統
109,03F3588N,0000300135900D,4,120.340164,22.969757,000030,國道3號,0,N,358K+800,關廟服務區,關廟
