VDID,SubAuthorityCode,BiDirectional,PositionLon,PositionLat,RoadName,LocationMile,LinkID,Bearing,RoadDirection,LaneNum,ActualLaneNum
VD-N4-E-19.998-M-RS,NFB-CR,0,120.75243,24.251945,國道4號,19K+998,0000400001839B,S,E,2,2
VD-N1-S-315-I-WS-21-Loop,NFB-SR,0,120.2511521,23.07671289,國道1號,315K+000,0000101062060D,SW,S,1,1
VD-N10-E-28.552-M-Loop,NFB-SR,0,120.488055,22.825,國道10號,28K+552,0001000002800T,N,E,2,2
VD-N1-S-192-C-S-1-入口-集散道,NFB-CR,0,120.5538588,24.10321874,國道1號,192K+000,0000101044010N,N,S,3,3
VD-N1-S-275.165-M-Loop,NFB-SR,0,120.35472,23.407202,國道1號,275K+165,0000100027500Q,S,S,3,3
VD-N3-S-32.990-M-LOOP,NFB-NR,0,121.51,24.9782,國道3號,32K+990,0000300003260F,W,S,3,3
VD-N3-N-172-R-EN-1-北上入口,NFB-CR,0,120.59829,24.27949,國道3號,172K+000,0000301184010B,N,N,1,1
VD-N1-N-116.950-M-RS,NFB-CR,0,120.87839,24.649082,國道1號,116K+950,0000100111600K,NE,N,3,3
VD-N3-S-215.081-M-RS,NFB-CR,0,120.664185,24.021383,國道3號,215K+081,0000300021510N,SW,S,4,4
VD-N3-N-343.179-M-Loop,NFB-SR,0,120.328333,23.096944,國道3號,343K+179,0000300134300D,N,N,3,3
VD-N3-N-18.810-M-LOOP,NFB-NR,0,121.5993,25.018888,國道3號,18K+810,0000300101820A,NE,N,3,3
VD-N1-S-368.500-M-Loop,NFB-SR,0,120.336105,22.624933,國道1號,368K+500,0000100036800E,S,S,4,4
VD-N3-S-131.953-M-LOOP,NFB-CR,0,120.77285,24.587927,國道3號,131K+953,0000300013100K,SW,S,4,4
VD-N3-S-226.399-M-LOOP,NFB-CR,0,120.67741,23.9369,國道3號,226K+399,0000300022600M,SE,S,3,3
VD-N1-S-364.800-M-Loop,NFB-SR,0,120.332664,22.657562,國道1號,364K+800,0000100036400E,S,S,5,5
VD-N1H-S-50.378-M-LOOP,NFB-NR,0,121.286934,25.031006,國道1號五股楊梅高架道路,50K+378,00001B0005000H,SW,S,3,3
VD-N3-N-288.170-M-Loop,NFB-SR,0,120.486111,23.527222,國道3號,288K+170,0000300128850Q,N,N,3,3
VD-N1-N-210.660-N-LOOP,NFB-CR,0,120.506552,23.957633,國道1號,210K+660,0000100121040N,N,N,3,3
VD-N1H-N-16.980-M-LOOP,NFB-NR,0,121.59208,25.064093,國道1號汐止五股高架道路,16K+980,00001A0101700A,E,N,2,2
VD-N1-S-270-I-WS-21-Loop,NFB-SR,0,120.3661979,23.44432805,國道1號,270K+000,0000101056040Q,S,S,1,1
VD-N2-W-8-I-NW-機場系統-1HS2W,NFB-NR,0,121.276,25.0217,國道2號,8K+000,0000201104080H,W,W,2,2
VD-N3-S-68-O-NW-21-龍潭,NFB-NR,0,121.223946,24.862743,國道3號,68K+000,0000301018010H,NW,S,1,1
VD-N1H-N-70-I-EN-1-校前路,NFB-NR,0,121.15137,24.899975,國道1號五股楊梅高架道路,70K+000,00001B1104000H,NE,N,1,1
VD-N1-N-4.850-M-RS,NFB-NR,0,121.701,25.0975,國道1號,4K+850,0000100100400C,E,N,2,2
VD-N5-S-34.853-M-LOOP,NFB-PL,0,121.78085,24.792099,國道5號,34K+853,0000500003400G,S,S,2,2
VD-N1-N-311-O-SE-1-Loop,NFB-SR,0,120.2453355,23.11345845,國道1號,311K+000,0000101161000D,N,N,1,1
VD-N3-N-224.041-M-RS,NFB-CR,0,120.66425,23.953781,國道3號,224K+041,0000300122400M,NW,N,4,4
VD-N6-W-34-I-SW-31-西向入口-埔里,NFB-CR,0,120.973121,23.98803136,國道6號,34K+000,0000601107020M,W,W,2,2
VD-N5-N-29.600-B-LOOP,NFB-PL,0,121.79076,24.835215,國道5號,29K+600,0000501104120G,N,N,1,1
VD-N1-S-6-O-NW-1-五堵出口,NFB-NR,0,121.68955,25.08748,國道1號,6K+000,0000101005000C,W,S,1,1
VD-N1-S-335-R-NW-1-Loop,NFB-SR,0,120.263855,22.909843,國道1號,335K+000,0000100033500D,S,S,1,1
VD-N3-S-145.594-M-RS,NFB-CR,0,120.701775,24.486132,國道3號,145K+594,0000300014510K,SW,S,3,3
VD-N3-N-209.324-N-LOOP,NFB-CR,0,120.66471,24.064623,國道3號,209K+324,0000300120900B,NW,N,3,3
VD-N3-N-16-O-SE-南港系統-3N5S,NFB-NR,0,121.620995,25.035498,國道3號,16K+000,0000301106000A,E,N,1,1
VD-N1-N-257-O-SE-22-Loop,NFB-SR,0,120.4166291,23.5524362,國道1號,257K+000,0000101154010Q,E,N,1,1
VD-N3-S-54-I-WS-鶯歌系統-2E3S,NFB-NR,0,121.32329,24.94085,國道3號,54K+000,0000301015010F,SW,S,2,2
VD-N1-S-178-O-NW-21-南下出口-沙鹿,NFB-CR,0,120.6309257,24.17665846,國道1號,178K+000,0000101041010B,W,S,2,2
VD-N1-S-373.900-M-RS,NFB-SR,0,120.3206313,22.58027256,國道1號,373K+900,0000101076030E,SW,S,2,2
VD-N1-N-2-O-SE-1-八堵,NFB-NR,0,121.7226,25.103992,國道1號,2K+000,0000101103000C,E,N,1,1
VD-N1-N-174-O-SW-22-北上出口-大雅,NFB-CR,0,120.6580284,24.2051919,國道1號,174K+000,0000101140050B,SW,N,1,1
VD-N3-S-407-I-WS-1-Loop,NFB-SR,0,120.5349449,22.63276292,國道3號,407K+000,0000301069040T,S,S,1,1
VD-N1-S-23.280-N-LOOP,NFB-NR,0,121.53136,25.073004,國道1號,23K+280,0000100002320A,W,S,2,2
VD-N3-S-50-O-NW-1A-三鶯-匝道,NFB-NR,0,121.36055,24.93992,國道3號,50K+000,0000301014000F,W,S,1,1
VD-N3-S-217-I-WS-1X-南下入口2,NFB-CR,0,120.6508254,24.00547902,國道3號,217K+000,0000301043070M,S,S,2,2
VD-N3-N-85.990-M-LOOP,NFB-NR,0,121.11845,24.781351,國道3號,85K+990,0000300108500J,NE,N,4,4
VD-N3A-E-3-I-NE-1A-萬芳-環道,NFB-NR,0,121.57909,25.003248,國道3甲,3K+000,0000311002030A,N,S,1,1
VD-N3-S-66.020-M-LOOP,NFB-NR,0,121.24141,24.872065,國道3號,66K+020,0000300006500H,SW,S,3,3
VD-N1-S-90.010-M-LOOP,NFB-NR,0,121.02142,24.832003,國道1號,90K+010,0000100008900J,S,S,4,4
VD-N1-S-281.300-M-Loop,NFB-SR,0,120.337036,23.357183,國道1號,281K+300,0000100028140D,SW,S,3,3
VD-N3-S-102.150-M-LOOP,NFB-NR,0,120.973145,24.757658,國道3號,102K+150,0000300010200J,W,S,4,4
VD-N6-W-4.950-N-LOOP,NFB-CR,0,120.715225,24.006153,國道6號,4K+950,0000600100480M,W,W,2,2
VD-N1-S-349-I-ES-22-Loop,NFB-SR,0,120.3201541,22.78748001,國道1號,349K+000,0000101069040E,SE,S,1,1
VD-N10-W-33-I-NW-1-Loop,NFB-SR,0,120.494722,22.86925,國道10號,33K+000,0001001108010E,SW,W,1,1
VD-N3-S-314.485-M-Loop,NFB-SR,0,120.43,23.323611,國道3號,314K+485,0000300031400D,S,S,3,3
VD-N3-N-322.270-M-Loop,NFB-SR,0,120.384254,23.27536,國道3號,322K+270,0000300132200D,NE,N,3,3
VD-N1-N-240-O-SE-1-北上出口-斗南,NFB-CR,0,120.47156,23.69136,國道1號,240K+000,0000101151000P,NE,N,2,2
